"Name","RIC","Curve Type","Country / Region","Currency","Tenor","Constituents","Rate Type","Curve / Constituents","Contributor"
"Brazilian Real Zero Coupon Tomorrow Next Point","BRLPRETNZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","Tomorrow Next","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 1 Week Point","BRLPRE1WZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","1 Week","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 1 Month Point","BRLPRE1MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","1 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 2 Month Point","BRLPRE2MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","2 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 3 Month Point","BRLPRE3MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","3 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 6 Month Point","BRLPRE6MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","6 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 9 Month Point","BRLPRE9MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","9 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 1 Year Point","BRLPRE1YZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","1 Year","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 1 Year 3 Month Point","BRLPRE1Y3MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","15 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 1 Year 6 Month Point","BRLPRE1Y6MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","18 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 1 Year 9 Month Point","BRLPRE1Y9MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","21 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 2 Year Point","BRLPRE2YZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","2 Year","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 2 Year 3 Month Point","BRLPRE2Y3MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","2 Year 3 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 2 Year 6 Month Point","BRLPRE2Y6MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","2 Year 6 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 2 Year 9 Month Point","BRLPRE2Y9MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","2 Year 9 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 3 Year Point","BRLPRE3YZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","3 Year","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 3 Year 3 Month Point","BRLPRE3Y3MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","3 Year 3 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 3 Year 6 Month Point","BRLPRE3Y6MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","3 Year 6 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 3 Year 9 Month Point","BRLPRE3Y9MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","3 Year 9 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 4 Year Point","BRLPRE4YZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","4 Year","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 4 Year 3 Month Point","BRLPRE4Y3MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","4 Year 3 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 4 Year 6 Month Point","BRLPRE4Y6MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","4 Year 6 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 4 Year 9 Month Point","BRLPRE4Y9MZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","4 Year 9 Month","","Spot","Constituent","REFINITIV"
"Brazilian Real Zero Coupon 5 Year Point","BRLPRE5YZ=R","Swap Zero Curve Constituent","Brazil","Brazilian Real","5 Year","","Spot","Constituent","REFINITIV"
